Recency,Frequency,MonetaryValue
1,7,4060.4
74,4,1195.08
18,1,1757.55
309,1,334.4
35,8,2506.04
203,1,89.0
231,1,1079.4
213,1,459.4
22,3,2710.63
32,1,6207.67
1,2,1168.06
57,4,6372.58
51,3,2662.06
286,1,189.9
2,10,5226.23
109,2,552.0
7,4,1248.3
290,2,641.38
3,1,168.9
50,4,3424.73
44,2,1887.96
71,3,1298.04
310,1,364.6
24,1,742.9300000000001
10,2,457.5
314,2,1628.12
129,1,3948.14
81,2,852.24
21,4,2724.81
4,5,1845.31
184,5,1798.72
28,2,585.27
337,2,358.7
15,6,2780.66
79,1,549.84
21,1,460.89
71,4,1582.6000000000001
63,2,821.92
18,12,2867.43
35,2,2409.9
45,1,1635.6599999999999
118,4,1038.45
302,1,84.3
322,1,225.6
49,1,427.7
148,1,1710.39
21,2,3415.3
49,5,1621.08
32,5,2888.55
78,3,10649.07
308,2,693.3299999999999
74,3,1226.88
66,3,758.1
216,3,562.41
24,16,60666.17
2,9,3649.1
112,1,668.58
63,1,600.39
15,4,807.04
95,3,803.5600000000001
0,8,1859.31
162,2,1608.3200000000002
77,1,777.2
194,1,582.73
21,3,765.32
25,9,7956.46
8,4,3700.0
42,1,256.4
35,15,5259.61
42,4,4359.32
0,7,12604.51
84,2,806.14
79,2,7120.450000000001
99,1,509.01
1,18,4873.41
13,2,2906.85
366,1,173.55
2,1,172.06
20,5,5005.46
21,1,133.4
57,1,1002.3100000000001
242,1,476.49
43,1,449.45
21,4,4067.29
155,2,197.88
10,5,8933.52
16,2,430.57
133,1,707.09
55,1,2918.34
72,6,2308.46
43,3,3181.04
65,7,2363.23
70,2,947.4
93,2,826.88
18,2,1189.59
52,4,1344.78
9,8,1212.05
16,2,742.1899999999999
187,2,729.5400000000001
1,30,19824.05
31,7,6572.11
28,5,3389.21
16,18,7375.79
53,1,723.38
15,11,6816.42
22,6,12829.74
3,1,680.99
10,1,527.2
27,4,2964.83
22,10,5596.32
16,8,2484.98
32,6,4541.72
9,3,1298.66
335,1,334.93
4,10,5417.93
38,1,460.40000000000003
62,2,263.21000000000004
165,2,433.74
15,7,1246.1000000000001
81,1,780.6
20,3,403.70000000000005
22,11,2296.54
336,1,2169.39
95,5,3723.87
17,2,482.04999999999995
232,1,73.5
133,3,686.4100000000001
25,2,398.27
283,1,176.5
142,2,982.5699999999999
65,2,138.03
112,1,612.29
266,1,1017.68
352,1,383.7
77,2,1208.38
27,5,2502.84
0,5,2056.89
63,1,340.84
78,5,2634.26
142,1,599.68
38,2,192.72
18,11,1789.77
8,8,4194.84
0,3,1316.66
81,3,348.71000000000004
8,6,1933.48
59,4,1662.28
14,1,125.22
29,1,349.83000000000004
130,1,1089.18
91,2,716.35
58,1,4279.71
28,1,363.95
21,4,5568.35
19,17,13400.24
29,3,981.18
35,1,372.7
74,2,1000.39
46,2,1161.5
197,2,207.79999999999998
165,1,95.19999999999999
78,1,964.83
357,1,168.0
38,2,437.82
7,10,3692.28
49,2,603.71
15,4,2501.34
7,1,269.96
310,2,561.71
4,3,2134.01
302,1,238.85
7,7,3781.7400000000002
260,1,456.9
288,1,145.92
85,1,351.65
22,10,9401.28
1,32,4124.69
39,2,519.61
8,2,1020.42
226,1,160.54000000000002
315,1,218.45
35,5,1315.83
34,3,657.8
20,2,2794.51
77,1,440.42
246,1,415.7
39,1,197.71
238,2,511.36
2,15,6989.78
3,9,2338.15
233,2,1901.86
16,1,196.94000000000003
7,1,144.0
38,1,214.89999999999998
28,2,646.68
210,1,8951.26
316,1,452.84999999999997
91,2,437.6
108,3,418.09999999999997
37,10,3338.2200000000003
50,2,618.27
18,4,3811.22
9,8,3023.08
28,7,1032.58
28,10,2599.04
189,5,577.0600000000001
58,1,153.12
21,1,739.1999999999999
78,2,254.18
59,1,1579.51
77,3,1126.85
22,5,2099.54
51,1,1049.32
73,1,704.0400000000001
56,5,3344.38
277,1,315.6
1,4,2291.19
94,2,713.3
28,1,355.53
21,1,177.31
15,9,2667.16
14,3,1339.41
1,20,12121.87
231,1,180.1
275,1,305.1
105,2,641.13
211,2,2683.82
22,9,6620.48
10,7,4470.53
3,3,786.46
9,2,1270.88
56,1,640.5
58,4,1951.98
89,2,1689.18
66,8,6021.9
32,1,671.69
238,1,486.1
23,3,1174.58
114,1,185.9
24,3,1013.26
127,6,1827.6000000000001
129,1,477.91
33,4,1775.18
4,2,1346.97
21,12,3722.82
154,1,318.05
106,3,614.87
2,1,314.44
334,1,114.0
330,1,919.98
148,2,2209.85
10,5,601.98
16,5,4051.17
10,4,1433.18
18,1,686.05
29,1,91.68
