Recency,Frequency,MonetaryValue,Cluster,Segment
1,7,4060.4,0,Potential Loyalists
74,4,1195.08,0,Potential Loyalists
18,1,1757.55,0,Potential Loyalists
309,1,334.4,3,At Risk/Lost
35,8,2506.04,0,Potential Loyalists
203,1,89.0,3,At Risk/Lost
231,1,1079.4,3,At Risk/Lost
213,1,459.4,3,At Risk/Lost
22,3,2710.63,0,Potential Loyalists
32,1,6207.67,0,Potential Loyalists
1,2,1168.06,0,Potential Loyalists
57,4,6372.58,0,Potential Loyalists
51,3,2662.06,0,Potential Loyalists
286,1,189.9,3,At Risk/Lost
2,10,5226.23,2,Champions
109,2,552.0,0,Potential Loyalists
7,4,1248.3,0,Potential Loyalists
290,2,641.38,3,At Risk/Lost
3,1,168.9,0,Potential Loyalists
50,4,3424.73,0,Potential Loyalists
44,2,1887.96,0,Potential Loyalists
71,3,1298.04,0,Potential Loyalists
310,1,364.6,3,At Risk/Lost
24,1,742.9300000000001,0,Potential Loyalists
10,2,457.5,0,Potential Loyalists
314,2,1628.12,3,At Risk/Lost
129,1,3948.14,0,Potential Loyalists
81,2,852.24,0,Potential Loyalists
21,4,2724.81,0,Potential Loyalists
4,5,1845.31,0,Potential Loyalists
184,5,1798.72,3,At Risk/Lost
28,2,585.27,0,Potential Loyalists
337,2,358.7,3,At Risk/Lost
15,6,2780.66,0,Potential Loyalists
79,1,549.84,0,Potential Loyalists
21,1,460.89,0,Potential Loyalists
71,4,1582.6,0,Potential Loyalists
63,2,821.92,0,Potential Loyalists
18,12,2867.43,0,Potential Loyalists
35,2,2409.9,0,Potential Loyalists
45,1,1635.66,0,Potential Loyalists
118,4,1038.45,0,Potential Loyalists
302,1,84.3,3,At Risk/Lost
322,1,225.6,3,At Risk/Lost
49,1,427.7,0,Potential Loyalists
148,1,1710.39,3,At Risk/Lost
21,2,3415.3,0,Potential Loyalists
49,5,1621.08,0,Potential Loyalists
32,5,2888.55,0,Potential Loyalists
78,3,10649.07,2,Champions
308,2,693.3299999999999,3,At Risk/Lost
74,3,1226.88,0,Potential Loyalists
66,3,758.1,0,Potential Loyalists
216,3,562.41,3,At Risk/Lost
24,16,60666.17,1,Champions
2,9,3649.1,0,Potential Loyalists
112,1,668.58,0,Potential Loyalists
63,1,600.39,0,Potential Loyalists
15,4,807.04,0,Potential Loyalists
95,3,803.5600000000001,0,Potential Loyalists
0,8,1859.31,0,Potential Loyalists
